No. Polisi;No. Kontainer;JIIPE Pass;CustomsPass;PortPass;Nama Perusahaan;Aktivitas;Waktu Masuk;Waktu Keluar;Status
L8660UUC;SEGU2788708;TKT-39186736;002229/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;09/12/2025, 03.37;-;Berlangsung
-;-;TKT-39186736;002229/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;09/12/2025, 03.10;-;Berlangsung
W6543GI;-;TKT-39186736;002229/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;09/12/2025, 03.10;-;Berlangsung
L8010UCB;TCLU3026769;TKT-39186736;002229/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;09/12/2025, 02.53;-;Berlangsung
L8482UZ;-;-;-;-;-;-;08/12/2025, 23.42;-;Berlangsung
B9155TEN;-;TKT-85034558;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;08/12/2025, 22.19;08/12/2025, 22.19;Selesai
B9855TEV;-;TKT-85034558;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;08/12/2025, 21.41;08/12/2025, 21.41;Selesai
T9094AC;-;TKT-85034558;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;08/12/2025, 20.43;08/12/2025, 20.43;Selesai
W8869PK;-;-;-;-;-;-;08/12/2025, 17.27;-;Berlangsung
B9197TEN;-;TKT-85034558;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;08/12/2025, 17.16;08/12/2025, 17.16;Selesai
B9219TEN;-;TKT-85034558;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;08/12/2025, 15.47;08/12/2025, 15.47;Selesai
B9692UEJ;WHSU6829696;TKT-19035860;002180/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;08/12/2025, 15.26;-;Berlangsung
L9941UM;WHSU6240582;TKT-19035860;002180/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;08/12/2025, 15.22;-;Berlangsung
L9079UC;WHSU6352514;TKT-19035860;002180/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;08/12/2025, 15.12;-;Berlangsung
L8981US;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;08/12/2025, 14.43;-;Berlangsung
B9312SEH;WHSU6147253;TKT-19035860;002180/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;08/12/2025, 14.35;-;Berlangsung
B9843PEH;WHSU6070927;TKT-19035860;002180/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;08/12/2025, 12.26;-;Berlangsung
G8577OF;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;08/12/2025, 11.46;-;Berlangsung
L9976BX;GCXU2148073;TKT-51574683;002209/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;08/12/2025, 11.07;08/12/2025, 16.30;Selesai
W9534UC;MSBU5593869;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;08/12/2025, 11.01;08/12/2025, 16.52;Selesai
W9332UJ;MSBU5593806;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;08/12/2025, 10.22;08/12/2025, 16.53;Selesai
L8696CG;-;TKT-12228214;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;08/12/2025, 10.10;08/12/2025, 10.10;Selesai
L9022UT;MSBU5593956;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;08/12/2025, 09.42;08/12/2025, 16.30;Selesai
H9606PA;FCIU5636891;TKT-51574683;002209/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;08/12/2025, 09.36;08/12/2025, 13.57;Selesai
W8417UD;MSBU5593494;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;08/12/2025, 09.27;08/12/2025, 16.52;Selesai
L8996US;WHSU8148177;TKT-19035860;002180/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;08/12/2025, 09.11;-;Berlangsung
L8036UCC;MSBU5593920;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;08/12/2025, 08.51;08/12/2025, 10.48;Selesai
L8062UCC;MSBU5594130;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;08/12/2025, 08.37;08/12/2025, 10.42;Selesai
L8415UP;DRYU2198794;TKT-73607048;005048/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;08/12/2025, 08.28;-;Berlangsung
L8785ND;GAOU2129317;TKT-73607048;005048/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;08/12/2025, 08.27;-;Berlangsung
L8704UUC;MSBU5593771;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;08/12/2025, 08.25;08/12/2025, 10.40;Selesai
L8679UUC;MSBU5593489;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;08/12/2025, 07.23;08/12/2025, 10.45;Selesai
L8010UCB;MSBU5593703;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;08/12/2025, 06.39;08/12/2025, 10.38;Selesai
L8541UCD;-;TKT-10322880;002218/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;07/12/2025, 18.25;-;Berlangsung
K1630VB;-;-;-;-;-;-;06/12/2025, 19.48;-;Berlangsung
L9250UD;MSBU5593215;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;06/12/2025, 13.35;-;Berlangsung
L8357NH;WHSU6862945;TKT-19035860;002180/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;06/12/2025, 13.00;-;Berlangsung
L8020UGB;MSNU6956729;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;06/12/2025, 12.57;-;Berlangsung
L9385UX;MSMU3107046;TKT-38094586;002210/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;06/12/2025, 12.18;06/12/2025, 17.09;Selesai
B9930UEM;MSMU3124038;TKT-38094586;002210/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;06/12/2025, 11.27;06/12/2025, 16.14;Selesai
L9149UIC;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;06/12/2025, 10.34;-;Berlangsung
B9632PEU;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;06/12/2025, 10.34;-;Berlangsung
L8128YN;HDMU2747390;TKT-51574683;002209/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;06/12/2025, 05.02;-;Berlangsung
B9326UEW;-;-;-;-;-;-;06/12/2025, 00.20;-;Berlangsung
B9155TEN;-;TKT-40390271;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;05/12/2025, 17.52;05/12/2025, 17.52;Selesai
B9354KEU;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;05/12/2025, 17.38;-;Berlangsung
B9895PYW;-;TKT-40390271;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;05/12/2025, 14.53;05/12/2025, 14.53;Selesai
B9147UIX;WHSU5137013;TKT-19035860;002180/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;05/12/2025, 14.29;-;Berlangsung
B9632PEU;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;05/12/2025, 14.13;-;Berlangsung
B9152UIX;WHSU5924620;TKT-19035860;002180/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;05/12/2025, 12.56;-;Berlangsung
L8647UZ;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;05/12/2025, 12.52;-;Berlangsung
L8810UZ;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;05/12/2025, 12.50;-;Berlangsung
L8565UH;WHSU6145800;TKT-19035860;002180/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;05/12/2025, 12.19;-;Berlangsung
L8272UDD;WHSU5987927;TKT-19035860;002180/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;05/12/2025, 12.18;-;Berlangsung
W8294DV;-;TKT-81839666;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;05/12/2025, 10.08;05/12/2025, 10.08;Selesai
L9533UL;-;TKT-20315266;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;05/12/2025, 09.18;05/12/2025, 09.18;Selesai
L1095PW;-;TKT-67632840;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;05/12/2025, 09.10;05/12/2025, 09.10;Selesai
W8658F;-;TKT-43912398;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;05/12/2025, 08.17;05/12/2025, 08.17;Selesai
W8593DQ;-;TKT-43912398;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;05/12/2025, 08.04;05/12/2025, 08.04;Selesai
B9155BEH;-;TKT-20315266;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;05/12/2025, 04.41;05/12/2025, 04.41;Selesai
B9155TEN;-;TKT-32105084;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;04/12/2025, 18.29;04/12/2025, 18.29;Selesai
B9354KEU;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;04/12/2025, 16.46;-;Berlangsung
L8810UZ;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;04/12/2025, 15.39;-;Berlangsung
L8019OJ;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;04/12/2025, 14.45;-;Berlangsung
L8515NB;-;TKT-53058271;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;04/12/2025, 14.29;04/12/2025, 14.29;Selesai
S8432WF;-;TKT-89055431;005032/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;04/12/2025, 14.09;-;Berlangsung
W8189DM;-;TKT-41459795;005033/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;04/12/2025, 13.49;-;Berlangsung
W8593DQ;-;TKT-52070091;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;04/12/2025, 13.08;-;Berlangsung
B8593DQ;-;-;-;-;-;-;04/12/2025, 12.55;-;Berlangsung
B9632PEU;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;04/12/2025, 10.46;-;Berlangsung
W8129UO;-;TKT-96561682;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;04/12/2025, 10.09;04/12/2025, 10.09;Selesai
W1990DF;-;TKT-56493263;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;04/12/2025, 09.25;04/12/2025, 09.25;Selesai
N1037GY;-;TKT-62487613;005029/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;04/12/2025, 09.08;-;Berlangsung
B9502JK;OOCU0854839;TKT-73255839;002191/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;04/12/2025, 08.27;-;Berlangsung
W8658F;-;TKT-26350932;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;04/12/2025, 08.15;04/12/2025, 08.15;Selesai
W8593DQ;-;TKT-26350932;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;04/12/2025, 08.01;04/12/2025, 08.01;Selesai
L9795UJ;-;TKT-20159073;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;04/12/2025, 05.42;04/12/2025, 05.42;Selesai
L8194UUD;-;TKT-78809271;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;04/12/2025, 05.27;04/12/2025, 05.27;Selesai
B9692IU;-;TKT-78809271;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;04/12/2025, 03.37;04/12/2025, 03.37;Selesai
B9590PAE;-;TKT-82984411;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;03/12/2025, 16.27;-;Berlangsung
L1397EH;-;TKT-54332211;005007/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;03/12/2025, 14.55;-;Berlangsung
L9421CA;-;TKT-64571830;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;03/12/2025, 14.55;03/12/2025, 14.55;Selesai
L9227BU;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;03/12/2025, 14.45;-;Berlangsung
S8432WF;-;TKT-15154338;005022/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;03/12/2025, 14.16;-;Berlangsung
B9632PEU;-;-;-;-;-;-;03/12/2025, 11.33;-;Berlangsung
W9181UQ;-;TKT-25074587;005018/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;03/12/2025, 11.31;-;Berlangsung
B9394PEV;-;TKT-38774197;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;03/12/2025, 10.48;03/12/2025, 10.48;Selesai
B9050TEV;-;TKT-38774197;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;03/12/2025, 10.46;03/12/2025, 10.46;Selesai
B9155TEN;-;TKT-38774197;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;03/12/2025, 09.56;03/12/2025, 09.56;Selesai
B9354KEU;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;02/12/2025, 15.44;-;Berlangsung
N8311UZ;-;TKT-24823066;004995/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;02/12/2025, 14.59;-;Berlangsung
H9359BA;-;TKT-14420003;004997/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;02/12/2025, 13.15;-;Berlangsung
B9972QEU;-;TKT-80921826;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;02/12/2025, 11.07;02/12/2025, 11.07;Selesai
L8570T;-;TKT-46294114;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;02/12/2025, 11.02;02/12/2025, 11.02;Selesai
W8371UA;-;TKT-64529634;004925/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;02/12/2025, 10.22;-;Berlangsung
B9182UEV;-;TKT-80921826;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;02/12/2025, 09.06;02/12/2025, 09.06;Selesai
B9692TU;-;TKT-46294114;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;02/12/2025, 04.39;02/12/2025, 04.39;Selesai
L9573UO;-;TKT-46294114;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;02/12/2025, 04.10;02/12/2025, 05.29;Selesai
W9221UT;-;-;-;-;-;-;01/12/2025, 16.29;-;Berlangsung
L8771UM;TRHU4152715;TKT-60429298;002173/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;01/12/2025, 14.20;-;Berlangsung
B9845UEV;-;TKT-80921826;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;01/12/2025, 13.54;01/12/2025, 13.53;Selesai
B9843UEV;-;TKT-80921826;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;01/12/2025, 13.48;01/12/2025, 14.03;Selesai
B9603UEV;-;TKT-80921826;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;01/12/2025, 13.31;01/12/2025, 13.31;Selesai
L9146UL;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;01/12/2025, 12.09;-;Berlangsung
B9354KEU;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;01/12/2025, 11.03;-;Berlangsung
B9354KEU;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;01/12/2025, 11.00;-;Berlangsung
L8589UM;-;TKT-96150082;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;01/12/2025, 08.45;01/12/2025, 08.45;Selesai
L8153UP;TCLU8030205;TKT-55460387;002162/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;01/12/2025, 08.16;-;Berlangsung
L8061UN;SITU9124057;TKT-55460387;002162/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;01/12/2025, 08.11;-;Berlangsung
B9403SD;-;TKT-96150082;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;01/12/2025, 05.30;01/12/2025, 05.30;Selesai
B9083PEJ;-;-;-;-;-;-;29/11/2025, 16.53;-;Berlangsung
L9384UO;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/11/2025, 17.00;-;Berlangsung
B9168UEM;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/11/2025, 16.55;-;Berlangsung
L8695UU;-;TKT-69320980;004968/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;28/11/2025, 15.12;-;Berlangsung
W8593DQ;-;TKT-31426675;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;28/11/2025, 08.52;28/11/2025, 08.53;Selesai
L9772UX;-;TKT-28317706;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;28/11/2025, 08.36;28/11/2025, 08.48;Selesai
W8593DQ;-;-;-;-;-;-;28/11/2025, 07.58;-;Berlangsung
-;-;-;-;-;-;-;27/11/2025, 19.33;-;Berlangsung
L1803KS;-;-;-;-;-;-;27/11/2025, 19.33;-;Berlangsung
L8205UU;-;TKT-65808669;004895/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;27/11/2025, 15.00;-;Berlangsung
L8185UQ;-;TKT-65808669;004895/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;27/11/2025, 14.52;-;Berlangsung
S8442SA;-;TKT-36865163;002152/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;27/11/2025, 14.33;-;Berlangsung
W8186UQ;-;TKT-97773659;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;27/11/2025, 14.00;27/11/2025, 14.02;Selesai
W8658F;-;TKT-43269275;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;27/11/2025, 13.00;27/11/2025, 13.00;Selesai
W8593DQ;-;TKT-43269275;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;27/11/2025, 12.53;27/11/2025, 12.53;Selesai
K9215AS;-;-;-;-;-;-;27/11/2025, 12.48;-;Berlangsung
K8184WK;-;-;-;-;-;-;27/11/2025, 12.37;-;Berlangsung
L9149UC;-;TKT-65808669;004895/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;26/11/2025, 16.51;-;Berlangsung
L8196UUB;-;TKT-41529110;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;26/11/2025, 15.59;26/11/2025, 15.59;Selesai
L8121UBA;-;TKT-41529110;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;26/11/2025, 14.52;26/11/2025, 14.52;Selesai
L8123UBA;-;TKT-41529110;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;26/11/2025, 14.47;26/11/2025, 14.47;Selesai
L9847UG;-;TKT-65808669;004895/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;26/11/2025, 14.03;-;Berlangsung
S9443WF;-;TKT-39082466;004949/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;26/11/2025, 13.25;-;Berlangsung
L9384UO;-;TKT-65808669;004895/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;26/11/2025, 12.23;-;Berlangsung
S8673UIE;-;TKT-65808669;004895/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;26/11/2025, 12.16;-;Berlangsung
L8146UM;-;TKT-65808669;004895/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;26/11/2025, 12.13;-;Berlangsung
L8046WDC;-;TKT-73403240;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;26/11/2025, 10.06;26/11/2025, 10.06;Selesai
L9775UUN;-;TKT-55382617;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;26/11/2025, 09.08;26/11/2025, 09.08;Selesai
L8363UDA;-;TKT-73403240;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;26/11/2025, 09.01;26/11/2025, 09.01;Selesai
B144PEH;-;-;-;-;-;-;26/11/2025, 06.06;-;Berlangsung
L9343UO;-;TKT-65808669;004895/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;25/11/2025, 13.15;-;Berlangsung
L9730UA;-;TKT-65808669;004895/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;25/11/2025, 13.14;-;Berlangsung
B9640UEW;-;TKT-65808669;004895/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;25/11/2025, 13.04;-;Berlangsung
S8432WF;-;TKT-65999029;004938/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;25/11/2025, 12.33;-;Berlangsung
W9181UQ;-;TKT-99694531;004937/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;25/11/2025, 11.06;-;Berlangsung
B9792UEW;-;TKT-65808669;004895/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;25/11/2025, 09.37;-;Berlangsung
AG8413LF;-;-;-;-;-;-;25/11/2025, 09.02;-;Berlangsung
B9396TX;SITU2862188;TKT-19509056;002124/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;25/11/2025, 07.52;-;Berlangsung
N8311UZ;-;TKT-79227636;004926/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;24/11/2025, 17.44;-;Berlangsung
L8180VG;-;TKT-43334113;004933/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;24/11/2025, 17.43;-;Berlangsung
F8802U;-;TKT-11106395;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;24/11/2025, 17.31;24/11/2025, 17.31;Selesai
L9258UQ;CAAU2808240;TKT-19509056;002124/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;24/11/2025, 16.13;-;Berlangsung
L8046UDC;-;TKT-11106395;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;24/11/2025, 13.21;24/11/2025, 13.21;Selesai
B9199BY;-;-;-;-;-;-;24/11/2025, 12.00;-;Berlangsung
B9185BYX;-;-;-;-;-;-;24/11/2025, 12.00;-;Berlangsung
K8196ZK;-;-;-;-;-;-;24/11/2025, 03.03;-;Berlangsung
B9403SXT;-;-;-;-;-;-;22/11/2025, 18.33;-;Berlangsung
B9844WO;MSNU2034843;-;-;-;-;-;21/11/2025, 15.07;-;Berlangsung
B9606NO;-;-;-;-;-;-;21/11/2025, 15.06;-;Berlangsung
L9421CA;-;TKT-41682729;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;21/11/2025, 14.57;21/11/2025, 14.57;Selesai
B9632PEU;-;-;-;-;-;-;21/11/2025, 14.55;-;Berlangsung
L9015UU;-;TKT-51013170;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;21/11/2025, 13.28;21/11/2025, 13.28;Selesai
L8300UM;-;TKT-51013170;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;21/11/2025, 13.27;21/11/2025, 13.27;Selesai
W8593DQ;-;-;-;-;-;-;21/11/2025, 13.20;-;Berlangsung
W8593DQ;-;-;-;-;-;-;21/11/2025, 13.20;-;Berlangsung
L8317AG;-;-;-;-;-;-;21/11/2025, 10.53;-;Berlangsung
S8189SD;-;TKT-51480635;-;-;HAILIANG NOVA MATERIAL INDONESIA;Bongkar;21/11/2025, 10.48;21/11/2025, 10.48;Selesai
S9935UN;-;-;-;-;-;-;21/11/2025, 09.49;-;Berlangsung
W8593DQ;-;TKT-71483667;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;21/11/2025, 08.03;21/11/2025, 08.03;Selesai
BG8164IH;-;-;-;-;-;-;21/11/2025, 01.19;-;Berlangsung
L9424UC;-;-;-;-;-;-;20/11/2025, 22.10;-;Berlangsung
W1219SV;-;-;-;-;-;-;20/11/2025, 17.47;-;Berlangsung
H9923OF;-;TKT-84637123;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;20/11/2025, 15.28;20/11/2025, 15.28;Selesai
L8330UDD;TLLU4094278;-;-;-;-;-;20/11/2025, 13.37;-;Berlangsung
L9335GM;-;-;-;-;-;-;20/11/2025, 10.37;-;Berlangsung
L8771UM;-;TKT-40278706;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;20/11/2025, 09.16;20/11/2025, 09.27;Selesai
L8300UM;-;TKT-83111926;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;20/11/2025, 08.25;20/11/2025, 08.25;Selesai
L8070UD;-;TKT-83111926;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;20/11/2025, 06.04;20/11/2025, 06.04;Selesai
W2509CL;-;TKT-40278706;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;20/11/2025, 04.11;20/11/2025, 04.11;Selesai
W9217UK;-;-;-;-;-;-;19/11/2025, 23.32;-;Berlangsung
L8041UUD;-;-;-;-;-;-;19/11/2025, 20.52;-;Berlangsung
L9140UW;-;-;-;-;-;-;19/11/2025, 20.12;-;Berlangsung
L8337UBA;-;TKT-28813656;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;19/11/2025, 15.12;19/11/2025, 15.12;Selesai
